,Importance
Standardized University,0.23152324865597335
Standardized Major,0.19822669289672154
Years of Employment,0.18483187500540105
Degree Type,0.08750201968272193
Previous startups?,0.06063914590620722
Worked as product manager/director/head/VP?,0.04608021322226055
Standardized Graduate Institution,0.0457433084847579
Consulting before start-up,0.03671723698071718
Ever served as TA/Teacher/Professor/Mentor?,0.030404046653696858
Graduate Diploma,0.02853414987241191
Standardized Graduate Studies,0.018696718874953652
Stanford or Berkeley,0.015411765876778043
Ivy League,0.005453827243307122
Worked in Sales?,0.004771300954399618
Worked at Google?,0.0035664481232696352
Worked at Microsoft?,0.001898001566422579
